127.0.0.1 - - [21/Oct/2025:15:53:43 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Oct/2025:15:53:44 +0900] "GET /server_test/project2/Calculator2Result.jsp HTTP/1.1" 500 2873
0:0:0:0:0:0:0:1 - - [21/Oct/2025:15:53:44 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Oct/2025:15:54:00 +0900] "GET /server_test/project2/Calculator2.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [21/Oct/2025:15:54:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Oct/2025:15:54:03 +0900] "POST /server_test/project2/Calculator2Result.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [21/Oct/2025:15:58:13 +0900] "GET /server_test/project2/Member.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:03:56 +0900] "GET /server_test/real_1/Test_001.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:09:31 +0900] "GET /server_test/real_1/Test_001.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:09:34 +0900] "POST /server_test/real_1/Test_002.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:09:44 +0900] "POST /server_test/real_1/Test_002.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:09:57 +0900] "POST /server_test/real_1/Test_002.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:09:58 +0900] "POST /server_test/real_1/Test_002.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:10:01 +0900] "POST /server_test/real_1/Test_002.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:10:05 +0900] "GET /server_test/real_1/Test_001.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:10:06 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:10:13 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 500 2695
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:11:02 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:11:05 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:11:08 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:11:13 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:12:00 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:12:13 +0900] "GET /server_test/real_1/Test_001.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:18:44 +0900] "GET /server_test/real_1/Test_001.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:18:48 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:19:27 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:19:30 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [21/Oct/2025:17:19:32 +0900] "POST /server_test/real_1/Test_001.jsp HTTP/1.1" 200 491
